qseqid	chosen_sacc	chosen_sseqid	chosen_staxids	chosen_ssciname	chosen_stitle	pident	qcov	bitscore	n_hits_considered	n_hits_tie	assignment_rank	taxon_name	decision_reason
ASV_3916	CP090945.1	gi|2179704138|gb|CP090945.1|	435897	N/A	Lysobacter capsici strain K-Hf-H2 chromosome	100	1	468	25	25	genus	Lysobacter	tie_LCA_genus
ASV_3978	NR_109674.1	gi|566085594|ref|NR_109674.1|	1230389	N/A	Reyranella soli strain KIS14-15 16S ribosomal RNA, partial sequence	100	1	468	3	1	genus	Reyranella	tie_LCA_genus
ASV_3984	MN684283.1	gi|1774728412|gb|MN684283.1|	56731	N/A	Rhizobium giardinii strain MT_SG_E_26_P3_2_27F.27F 16S ribosomal RNA gene, partial sequence	100	1	468	22	22	higher	NA	tie_LCA_higher_or_conflict
ASV_402	NR_178391.1	gi|2363080329|ref|NR_178391.1|	665083	N/A	Allostreptomyces indica strain YIM 75704 16S ribosomal RNA, partial sequence	100	1	468	18	18	higher	NA	tie_LCA_higher_or_conflict
ASV_4154	NR_200022.1	gi|3030611346|ref|NR_200022.1|	3139917	N/A	Streptomyces pratisoli strain MS1.AVA.4 16S ribosomal RNA, partial sequence	100	1	468	25	25	genus	Streptomyces	tie_LCA_genus
ASV_4155	CP102173.1	gi|2283193646|gb|CP102173.1|	2969247	N/A	Aeromicrobium wangtongii strain zg-Y1379 chromosome, complete genome	100	1	468	22	5	genus	Aeromicrobium	tie_LCA_genus
ASV_448	PX257813.1	gi|3055968580|gb|PX257813.1|	1396	N/A	Bacillus cereus strain BOTRUEML156 16S ribosomal RNA gene, partial sequence	100	1	468	25	25	genus	Bacillus	tie_LCA_genus
ASV_494	CP101418.1	gi|3006035059|gb|CP101418.1|	1138190	N/A	Rhizobium binae strain YTUBH007 chromosome, complete genome	100	1	468	25	25	genus	Rhizobium	tie_LCA_genus
ASV_507	NR_175411.1	gi|2221405162|ref|NR_175411.1|	2495887	N/A	Nonomuraea basaltis strain 160415 16S ribosomal RNA, partial sequence	100	1	468	24	24	higher	NA	tie_LCA_higher_or_conflict
ASV_528	NR_044568.1	gi|343206016|ref|NR_044568.1|	543615	N/A	Solitalea koreensis strain R2A36-4 16S ribosomal RNA, partial sequence	99.606	1.0039525691699605	462	1	1	genus	Solitalea	tie_LCA_genus
ASV_545	PV110961.1	gi|2911994182|gb|PV110961.1|	146819	N/A	Streptomyces europaeiscabiei strain LYZ1138 16S ribosomal RNA gene, partial sequence	100	1	468	22	22	genus	Streptomyces	tie_LCA_genus
ASV_573	NR_133836.1	gi|959494981|ref|NR_133836.1|	502333	N/A	Ramlibacter ginsenosidimutans strain BXN5-27 16S ribosomal RNA, partial sequence	100	1	468	23	6	genus	Ramlibacter	tie_LCA_genus
ASV_5770	NR_044235.1	gi|343205806|ref|NR_044235.1|	433663	N/A	Nocardioides islandensis strain MSL 26 16S ribosomal RNA, partial sequence	100	1	468	1	1	genus	Nocardioides	tie_LCA_genus
ASV_5937	NR_160536.1	gi|1558439488|ref|NR_160536.1|	889274	N/A	Polyangium sorediatum strain Pl s12 16S ribosomal RNA, partial sequence	99.209	1	457	2	2	genus	Polyangium	tie_LCA_genus
ASV_5943	NR_024741.1	gi|219857113|ref|NR_024741.1|	113562	N/A	Actinoplanes derwentensis strain IFO 14935 16S ribosomal RNA, partial sequence	100	1	468	23	18	genus	Actinoplanes	tie_LCA_genus
ASV_6591	NR_132332.1	gi|901703599|ref|NR_132332.1|	386874	N/A	Sphingomonas sediminicola strain Dae 20 16S ribosomal RNA, partial sequence	99.209	1	457	3	3	genus	Sphingomonas	tie_LCA_genus
ASV_668	NR_134126.1	gi|961555157|ref|NR_134126.1|	1303477	N/A	Daejeonella huanghensis strain M1-27 16S ribosomal RNA, partial sequence	99.209	1	457	2	2	genus	Daejeonella	tie_LCA_genus
ASV_6788	MN704452.1	gi|1776836997|gb|MN704452.1|	421767	N/A	Bacillus butanolivorans strain EGI176 16S ribosomal RNA gene, partial sequence	100	1	468	20	11	higher	NA	tie_LCA_higher_or_conflict
ASV_759	NR_041250.1	gi|343200563|ref|NR_041250.1|	296052	N/A	Terrimonas lutea strain DY 16S ribosomal RNA, partial sequence	100	1	468	3	1	genus	Terrimonas	tie_LCA_genus
ASV_781	NR_179316.1	gi|2363082139|ref|NR_179316.1|	2740184	N/A	Geomonas silvestris strain Red330 16S ribosomal RNA, partial sequence	100	1	468	25	25	higher	NA	tie_LCA_higher_or_conflict
ASV_8459	OP343810.1	gi|2293332109|gb|OP343810.1|	152268	N/A	Metabacillus litoralis strain S259 16S ribosomal RNA gene, partial sequence	99.605	1	462	24	24	higher	NA	tie_LCA_higher_or_conflict
ASV_91	NR_156049.1	gi|1384992300|ref|NR_156049.1|	1882682	N/A	Microvirga ossetica strain V5/3M 16S ribosomal RNA, partial sequence	100	1	468	19	13	higher	NA	tie_LCA_higher_or_conflict
ASV_971	NR_043090.1	gi|343198624|ref|NR_043090.1|	303380	N/A	Herminiimonas fonticola strain S-94 16S ribosomal RNA, partial sequence	100	1	468	13	7	higher	NA	tie_LCA_higher_or_conflict
ASV_974	ON136506.1	gi|2215064761|gb|ON136506.1|	670288	N/A	Adhaeribacter aerophilus isolate Otu1085 16S ribosomal RNA gene, partial sequence	99.209	1	457	1	1	genus	Adhaeribacter	tie_LCA_genus
ASV_992	NR_043867.1	gi|343205178|ref|NR_043867.1|	77133;380628	N/A	Agrilutibacter niabensis strain GH34-4 16S ribosomal RNA, partial sequence	100	1	468	16	15	higher	NA	tie_LCA_higher_or_conflict
